1728	"Loeb classical library"
1552	"Greek anthology. English &amp; Greek"
691	"Teubner"
526	"Fragmenta historicorum graecorum Vol IV"
352	"Fragmenta historicorum graecorum Vol II"
310	"Bibliotheca scriptorum graecorum et romanorum Teubneriana. [Scriptores Graeci];"
305	"Fragmenta historicorum graecorum Vol III"
282	"The Greek anthology Vol III The Declamatory Epigrams Book IX"
272	"The Loeb classical library"
268	"The Greek anthology Vol II Sepulchral Epigrams Book VII"
224	"Moralia. English &amp; Greek."
188	"The Greek anthology Vol I The Dedicatory Epigrams Book VI"
185	"Scriptorum classicorum bibliotheca Oxoniensis"
179	"Grammaticae Romanae fragmenta collegit"
174	"The Greek anthology Vol V Epigrammata of the Planudean Anthology Not in the Pallatine Manuscript, Book XVI"
173	"Sammlung wissenschaftlicher Commentare"
170	"Moralia. Greek."
162	"Bibliotheca scriptorum Graecorum et Romanorum Teubneriana"
153	"Hesiod The Homeric hymns. And Homerica"
151	"Bibliotheca scriptorum graecorum et romanorum Teubneriana. [S.r.]"
138	"Fragmenta poetarum Romanorum"
132	"Fragmenta poetarum Latinorum epicorum et lyricorum praeter Ennium et Lucilium"
130	"The Oxford book of Latin verse from the earliest fragments to the end of the Vth century A.D"
126	"Epistolographoi hellenikoi Epistolographi graeci"
122	"Historicorum Romanorum reliquiae Vol II"
122	"الموطأ :::: موطأ الامام مالك"
120	"The Greek anthology Vol III"
120	"The Greek anthology Vol IV The Convivial and Satirical Epigrams Book XI"
119	"Anthologia lyrica sive Lyricorum graecorum veterum praeter Pindarum reliquiae potiores"
107	"Poetae lyrici graeci"
102	"Epigrammata Graeca"
100	"The Loeb Classical Library"
96	"Allyn and Bacon's college Latin series"
96	"The Greek anthology Vol I The Amatory Epigrams Book V"
92	"Orationes"
91	"Lyra Graeca being the remains of all the Greek lyric poets from Eumelus to Timotheus excepting Pindar Volume 3"
90	"Historia Augusta"
90	"Scriptores historiae augustae. English &amp; Latin."
88	"Anthologia lyrica graeca Volume I"
88	"Aristides Volume 1"
88	"Mediaeval Latin"
77	"Anthologia lyrica graeca Volume II"
75	"Poetae lyrici Graeci Vol II Poetas Elegiacos et Iambographos Continens"
74	"Liber Quartus Reliqui Scriptores Qui Florerunt Inde Ab Alexandri Temporibus Usque Ad Mortem Ptolemaei Philadelphi (336-247 a.C.)"
73	"Bible.‏ ‎Latin.‏ ‎Vulgate‏"
73	"Comicorum atticorum fragmenta Volumen III Novae Comoediae Fragmenta, Pars II Comicorum Incertae Aetatis Fragmenta, Fragmenta Incertorum Poetarum, Indices, Supplementa"
73	"Poetae lyrici Graeci Vol III Poetas Melicos Continens"
73	"Vulgate Bible"
68	"Lysias with an English Translation"
68	"The Greek anthology Vol IV The Hortatory and Admonitory Epigrams Book X"
67	"World English Bible"
66	"Homeric hymns. English &amp; Greek."
65	"OCT"
64	"Ausonius, with an English translation Vol 1"
64	"Liber Decimus Scriptores Aetatis Incertae Ex Ordine Literarum"
    <title count="63"/>
63	"Oxford Classical Texts Series"
60	"Scripta quae manserunt omnia Partis IV Vol. III"
60	"The Declamatory Epigrams Book IX"
59	"Loeb Classical Library"
58	"The Greek anthology Vol II"
58	"The Greek anthology Vol IV Musa Puerilis Book XII"
57	"Epicorum graecorum fragmenta"
57	"Tragicorum graecorum fragmenta"
56	"Bibliotheca scriptorum Graecorum et Romanorum Teubneriana. [Scriptores Graeci]"
56	"الخراج :::: كتاب الخراج"
55	"Historicorum Romanorum reliquiae Vol I"
55	"المتشابه في القرآن :::: المشتبه في القرآن :::: المشتبهات في القرآن :::: متشابه القرآن::::مشتبهات القرآن العظيم"
53	"Bible. Septuagint Old Testament"
53	"Declamationes"
53	"Septuaginta id est, Vetus Testamentum graece iuxta LXX interpretes"
48	"Lucius Annaeus Florus, Epitome of Roman history Cornelius Nepos The Book of Cornelius Nepos on the Great Generals of Foreign Nations"
48	"Speeches"
47	"Ausonius, Decimus Magnus. Works"
47	"Bibliotheca scriptorum graecorum et romanorum Teubneriana"
47	"Decimi Magni Ausonii Burdigalensis opuscula"
47	"Platonis Opera Tomus III Tetralogia V-VII"
47	"Supplementum comicum, comoediae graecae fragmenta post editiones Kockianam et Kaibelianam reperta vel indicata, collegit, disposuit, adnotationibus et indice verborum"
46	"Inde ab Incunabulus Artis Historicae Usque ad Finem Belli Peloponnesiaci 520-404 A.C."
45	"Callimachus and Lycophron"
45	"Lucian Vol I"
44	"Delectus ex iambis et elegis Graecis"
44	"Demosthenis orationes Tomus III Vol III Orationes XLI-LXI. Prooemia. Epistulae"
